"prv_code","city_code","area_code","dept_code","li_code","area_name"
"00","000","00","000","0000","全國"
"63","000","00","000","0000","臺北市"
"65","000","00","000","0000","新北市"
"68","000","00","000","0000","桃園市"
"66","000","00","000","0000","臺中市"
"67","000","00","000","0000","臺南市"
"64","000","00","000","0000","高雄市"
"10","004","00","000","0000","新竹縣"
"10","005","00","000","0000","苗栗縣"
"10","007","00","000","0000","彰化縣"
"10","008","00","000","0000","南投縣"
"10","009","00","000","0000","雲林縣"
"10","010","00","000","0000","嘉義縣"
"10","013","00","000","0000","屏東縣"
"10","002","00","000","0000","宜蘭縣"
"10","015","00","000","0000","花蓮縣"
"10","014","00","000","0000","臺東縣"
"10","016","00","000","0000","澎湖縣"
"10","017","00","000","0000","基隆市"
"10","018","00","000","0000","新竹市"
"10","020","00","000","0000","嘉義市"
"09","020","00","000","0000","金門縣"
"09","007","00","000","0000","連江縣"
"63","000","00","001","0000","松山區"
"63","000","00","002","0000","信義區"
"63","000","00","003","0000","大安區"
"63","000","00","004","0000","中山區"
"63","000","00","005","0000","中正區"
"63","000","00","006","0000","大同區"
"63","000","00","007","0000","萬華區"
"63","000","00","008","0000","文山區"
"63","000","00","009","0000","南港區"
"63","000","00","010","0000","內湖區"
"63","000","00","011","0000","士林區"
"63","000","00","012","0000","北投區"
"65","000","00","001","0000","板橋區"
"65","000","00","002","0000","三重區"
"65","000","00","003","0000","中和區"
"65","000","00","004","0000","永和區"
"65","000","00","005","0000","新莊區"
"65","000","00","006","0000","新店區"
"65","000","00","007","0000","樹林區"
"65","000","00","008","0000","鶯歌區"
"65","000","00","009","0000","三峽區"
"65","000","00","010","0000","淡水區"
"65","000","00","011","0000","汐止區"
"65","000","00","012","0000","瑞芳區"
"65","000","00","013","0000","土城區"
"65","000","00","014","0000","蘆洲區"
"65","000","00","015","0000","五股區"
"65","000","00","016","0000","泰山區"
"65","000","00","017","0000","林口區"
"65","000","00","018","0000","深坑區"
"65","000","00","019","0000","石碇區"
"65","000","00","020","0000","坪林區"
"65","000","00","021","0000","三芝區"
"65","000","00","022","0000","石門區"
"65","000","00","023","0000","八里區"
"65","000","00","024","0000","平溪區"
"65","000","00","025","0000","雙溪區"
"65","000","00","026","0000","貢寮區"
"65","000","00","027","0000","金山區"
"65","000","00","028","0000","萬里區"
"65","000","00","029","0000","烏來區"
"68","000","00","001","0000","桃園區"
"68","000","00","002","0000","中壢區"
"68","000","00","003","0000","大溪區"
"68","000","00","004","0000","楊梅區"
"68","000","00","005","0000","蘆竹區"
"68","000","00","006","0000","大園區"
"68","000","00","007","0000","龜山區"
"68","000","00","008","0000","八德區"
"68","000","00","009","0000","龍潭區"
"68","000","00","010","0000","平鎮區"
"68","000","00","011","0000","新屋區"
"68","000","00","012","0000","觀音區"
"68","000","00","013","0000","復興區"
"66","000","00","001","0000","中區"
"66","000","00","002","0000","東區"
"66","000","00","003","0000","南區"
"66","000","00","004","0000","西區"
"66","000","00","005","0000","北區"
"66","000","00","006","0000","西屯區"
"66","000","00","007","0000","南屯區"
"66","000","00","008","0000","北屯區"
"66","000","00","009","0000","豐原區"
"66","000","00","010","0000","東勢區"
"66","000","00","011","0000","大甲區"
"66","000","00","012","0000","清水區"
"66","000","00","013","0000","沙鹿區"
"66","000","00","014","0000","梧棲區"
"66","000","00","015","0000","后里區"
"66","000","00","016","0000","神岡區"
"66","000","00","017","0000","潭子區"
"66","000","00","018","0000","大雅區"
"66","000","00","019","0000","新社區"
"66","000","00","020","0000","石岡區"
"66","000","00","021","0000","外埔區"
"66","000","00","022","0000","大安區"
"66","000","00","023","0000","烏日區"
"66","000","00","024","0000","大肚區"
"66","000","00","025","0000","龍井區"
"66","000","00","026","0000","霧峰區"
"66","000","00","027","0000","太平區"
"66","000","00","028","0000","大里區"
"66","000","00","029","0000","和平區"
"67","000","00","001","0000","新營區"
"67","000","00","002","0000","鹽水區"
"67","000","00","003","0000","白河區"
"67","000","00","004","0000","柳營區"
"67","000","00","005","0000","後壁區"
"67","000","00","006","0000","東山區"
"67","000","00","007","0000","麻豆區"
"67","000","00","008","0000","下營區"
"67","000","00","009","0000","六甲區"
"67","000","00","010","0000","官田區"
"67","000","00","011","0000","大內區"
"67","000","00","012","0000","佳里區"
"67","000","00","013","0000","學甲區"
"67","000","00","014","0000","西港區"
"67","000","00","015","0000","七股區"
"67","000","00","016","0000","將軍區"
"67","000","00","017","0000","北門區"
"67","000","00","018","0000","新化區"
"67","000","00","019","0000","善化區"
"67","000","00","020","0000","新市區"
"67","000","00","021","0000","安定區"
"67","000","00","022","0000","山上區"
"67","000","00","023","0000","玉井區"
"67","000","00","024","0000","楠西區"
"67","000","00","025","0000","南化區"
"67","000","00","026","0000","左鎮區"
"67","000","00","027","0000","仁德區"
"67","000","00","028","0000","歸仁區"
"67","000","00","029","0000","關廟區"
"67","000","00","030","0000","龍崎區"
"67","000","00","031","0000","永康區"
"67","000","00","032","0000","東區"
"67","000","00","033","0000","南區"
"67","000","00","034","0000","北區"
"67","000","00","035","0000","安南區"
"67","000","00","036","0000","安平區"
"67","000","00","037","0000","中西區"
"64","000","00","001","0000","鹽埕區"
"64","000","00","002","0000","鼓山區"
"64","000","00","003","0000","左營區"
"64","000","00","004","0000","楠梓區"
"64","000","00","005","0000","三民區"
"64","000","00","006","0000","新興區"
"64","000","00","007","0000","前金區"
"64","000","00","008","0000","苓雅區"
"64","000","00","009","0000","前鎮區"
"64","000","00","010","0000","旗津區"
"64","000","00","011","0000","小港區"
"64","000","00","012","0000","鳳山區"
"64","000","00","013","0000","林園區"
"64","000","00","014","0000","大寮區"
"64","000","00","015","0000","大樹區"
"64","000","00","016","0000","大社區"
"64","000","00","017","0000","仁武區"
"64","000","00","018","0000","鳥松區"
"64","000","00","019","0000","岡山區"
"64","000","00","020","0000","橋頭區"
"64","000","00","021","0000","燕巢區"
"64","000","00","022","0000","田寮區"
"64","000","00","023","0000","阿蓮區"
"64","000","00","024","0000","路竹區"
"64","000","00","025","0000","湖內區"
"64","000","00","026","0000","茄萣區"
"64","000","00","027","0000","永安區"
"64","000","00","028","0000","彌陀區"
"64","000","00","029","0000","梓官區"
"64","000","00","030","0000","旗山區"
"64","000","00","031","0000","美濃區"
"64","000","00","032","0000","六龜區"
"64","000","00","033","0000","甲仙區"
"64","000","00","034","0000","杉林區"
"64","000","00","035","0000","內門區"
"64","000","00","036","0000","茂林區"
"64","000","00","037","0000","桃源區"
"64","000","00","038","0000","那瑪夏區"
"10","004","00","001","0000","竹北市"
"10","004","00","002","0000","竹東鎮"
"10","004","00","003","0000","新埔鎮"
"10","004","00","004","0000","關西鎮"
"10","004","00","005","0000","湖口鄉"
"10","004","00","006","0000","新豐鄉"
"10","004","00","007","0000","芎林鄉"
"10","004","00","008","0000","橫山鄉"
"10","004","00","009","0000","北埔鄉"
"10","004","00","010","0000","寶山鄉"
"10","004","00","011","0000","峨眉鄉"
"10","004","00","012","0000","尖石鄉"
"10","004","00","013","0000","五峰鄉"
"10","005","00","001","0000","苗栗市"
"10","005","00","002","0000","苑裡鎮"
"10","005","00","003","0000","通霄鎮"
"10","005","00","004","0000","竹南鎮"
"10","005","00","005","0000","頭份市"
"10","005","00","006","0000","後龍鎮"
"10","005","00","007","0000","卓蘭鎮"
"10","005","00","008","0000","大湖鄉"
"10","005","00","009","0000","公館鄉"
"10","005","00","010","0000","銅鑼鄉"
