zone,2020,2024,diff,rate,target
連江縣01,19,5,-14,-73.68,
連江縣02,4,3,-1,-25,
連江縣03,0,0,0,0,
連江縣04,4,0,-4,-100,
金門縣01,172,95,-77,-44.77,
金門縣02,105,46,-59,-56.19,
金門縣03,26,8,-18,-69.23,
宜蘭縣01,84,56,-28,-33.33,
宜蘭縣02,50,31,-19,-38,
宜蘭縣03,50,31,-19,-38,
宜蘭縣04,44,27,-17,-38.64,
宜蘭縣05,19,22,3,15.79,
宜蘭縣06,57,41,-16,-28.07,
宜蘭縣07,63,28,-35,-55.56,
宜蘭縣08,84,58,-26,-30.95,
宜蘭縣09,37,29,-8,-21.62,
宜蘭縣10,108,61,-47,-43.52,
新竹縣01,124,99,-25,-20.16,
新竹縣02,157,107,-50,-31.85,
新竹縣03,77,71,-6,-7.79,
新竹縣04,57,50,-7,-12.28,
新竹縣05,91,56,-35,-38.46,
新竹縣06,52,25,-27,-51.92,
新竹縣07,38,25,-13,-34.21,
新竹縣08,180,79,-101,-56.11,
新竹縣09,26,8,-18,-69.23,
新竹縣10,45,14,-31,-68.89,
苗栗縣01,321,110,-211,-65.73,
苗栗縣02,110,34,-76,-69.09,
苗栗縣03,152,59,-93,-61.18,
苗栗縣04,265,92,-173,-65.28,
苗栗縣05,403,172,-231,-57.32,
苗栗縣06,121,46,-75,-61.98,
彰化縣01,436,195,-241,-55.28,
彰化縣02,325,129,-196,-60.31,
彰化縣03,268,102,-166,-61.94,
彰化縣04,241,137,-104,-43.15,
彰化縣05,253,99,-154,-60.87,
彰化縣06,121,95,-26,-21.49,
彰化縣07,176,85,-91,-51.7,
彰化縣08,269,110,-159,-59.11,
南投縣01,213,102,-111,-52.11,
南投縣02,242,66,-176,-72.73,
南投縣03,172,96,-76,-44.19,
南投縣04,169,59,-110,-65.09,
南投縣05,299,114,-185,-61.87,
雲林縣01,229,113,-116,-50.66,
雲林縣02,161,77,-84,-52.17,
雲林縣03,268,251,-17,-6.34,
雲林縣04,179,65,-114,-63.69,
雲林縣05,179,186,7,3.91,
雲林縣06,270,271,1,0.37,
嘉義縣01,330,185,-145,-43.94,
嘉義縣02,237,279,42,17.72,
嘉義縣03,129,147,18,13.95,
嘉義縣04,229,83,-146,-63.76,
嘉義縣05,108,55,-53,-49.07,
嘉義縣06,230,206,-24,-10.43,
屏東縣01,244,100,-144,-59.02,
屏東縣02,320,103,-217,-67.81,
屏東縣03,481,143,-338,-70.27,
屏東縣04,295,77,-218,-73.9,
屏東縣05,172,35,-137,-79.65,
屏東縣06,193,41,-152,-78.76,
屏東縣07,37,10,-27,-72.97,
臺東縣01,157,110,-47,-29.94,
臺東縣02,50,29,-21,-42,
臺東縣03,77,60,-17,-22.08,
臺東縣04,55,37,-18,-32.73,
臺東縣05,51,26,-25,-49.02,
臺東縣06,7,4,-3,-42.86,
花蓮縣01,156,61,-95,-60.9,
花蓮縣02,90,46,-44,-48.89,
花蓮縣03,385,136,-249,-64.68,
花蓮縣04,164,49,-115,-70.12,
澎湖縣01,111,43,-68,-61.26,
澎湖縣02,18,11,-7,-38.89,
澎湖縣03,18,4,-14,-77.78,
澎湖縣04,10,5,-5,-50,
澎湖縣05,2,0,-2,-100,
澎湖縣06,15,3,-12,-80,
基隆市01,112,63,-49,-43.75,
基隆市02,81,60,-21,-25.93,
基隆市03,101,46,-55,-54.46,
基隆市04,93,59,-34,-36.56,
基隆市05,131,87,-44,-33.59,
基隆市06,77,41,-36,-46.75,
基隆市07,101,67,-34,-33.66,
新竹市01,146,98,-48,-32.88,
新竹市02,59,47,-12,-20.34,
新竹市03,43,38,-5,-11.63,
新竹市04,132,102,-30,-22.73,
新竹市05,139,107,-32,-23.02,
嘉義市01,158,125,-33,-20.89,
嘉義市02,195,156,-39,-20,
臺北市01,473,293,-180,-38.05,
臺北市02,456,186,-270,-59.21,
臺北市03,336,275,-61,-18.15,
臺北市04,292,243,-49,-16.78,
臺北市05,366,224,-142,-38.8,
臺北市06,490,295,-195,-39.8,
高雄市01,354,101,-253,-71.47,
高雄市02,259,83,-176,-67.95,
高雄市03,391,151,-240,-61.38,
高雄市04,289,189,-100,-34.6,
高雄市05,264,113,-151,-57.2,
高雄市06,180,103,-77,-42.78,
高雄市07,280,129,-151,-53.93,
高雄市08,144,97,-47,-32.64,
高雄市09,303,166,-137,-45.21,
高雄市10,405,183,-222,-54.81,
高雄市11,296,108,-188,-63.51,
新北市01,238,214,-24,-10.08,
新北市02,641,403,-238,-37.13,
新北市03,0,227,227,0,
新北市04,675,367,-308,-45.63,
新北市05,735,340,-395,-53.74,
新北市06,480,269,-211,-43.96,
新北市07,243,143,-100,-41.15,
新北市08,912,398,-514,-56.36,
新北市09,445,290,-155,-34.83,
新北市10,121,151,30,24.79,
新北市11,253,242,-11,-4.35,
臺中市01,244,103,-141,-57.79,
臺中市02,380,157,-223,-58.68,
臺中市03,381,163,-218,-57.22,
臺中市04,290,121,-169,-58.28,
臺中市05,285,153,-132,-46.32,
臺中市06,190,129,-61,-32.11,
臺中市07,137,90,-47,-34.31,
臺中市08,285,142,-143,-50.18,
臺中市09,147,87,-60,-40.82,
臺中市10,107,79,-28,-26.17,
臺中市11,190,112,-78,-41.05,
臺中市12,202,107,-95,-47.03,
臺中市13,310,183,-127,-40.97,
臺中市14,302,105,-197,-65.23,
臺南市01,276,206,-70,-25.36,
臺南市02,287,94,-193,-67.25,
臺南市03,250,105,-145,-58,
臺南市04,162,45,-117,-72.22,
臺南市05,246,97,-149,-60.57,
臺南市06,222,95,-127,-57.21,
臺南市07,211,106,-105,-49.76,
臺南市08,229,78,-151,-65.94,
臺南市09,133,81,-52,-39.1,
臺南市10,147,71,-76,-51.7,
臺南市11,322,112,-210,-65.22,
桃園市01,502,259,-243,-48.41,
桃園市02,230,100,-130,-56.52,
桃園市03,345,160,-185,-53.62,
桃園市04,182,84,-98,-53.85,
桃園市05,128,71,-57,-44.53,
桃園市06,293,109,-184,-62.8,
桃園市07,575,405,-170,-29.57,
