party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,50274,35751,22496,64272,70577,68661,76928,71872,60398,55169,42631,26885,67869,60589,58573
無黨籍及未經政黨推薦,63801,77203,84133,,4677,2383,28262,39190,37601,60506,66646,75109,18173,25829,30266
民主進步黨,,1006,1408,53860,44264,41104,7457,5633,11897,,7873,7326,31064,30912,22464
台灣第一民族黨,,,,,,,1513,,,373,,,,,
台灣團結聯盟,,,,,,,832,,,,,,,,
天宙和平統一家庭黨,,2678,,,,,,,,,,,,,
時代力量,,161,,,,,,360,,,339,,,,
親民黨,,403,,,,,,1021,,,,,,,
信心希望聯盟,,,,,,,,813,,,,,,,
台灣民眾黨,,,,,,,,,589,,,566,,,
台灣維新,,,,,,,,,90,,,,,,
台灣澎友黨,,,,,,,,,,,,250,,,
