villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
66000280014,臺中市,大里區,仁化里,624,5794,10.77,726,4634,15.67,江和樹,Y,1548,5796,26.71,1915,5879,32.57,15.94
66000280015,臺中市,大里區,健民里,356,3142,11.33,346,2858,12.11,江和樹,Y,965,3605,26.77,1183,3656,32.36,15.44
66000280025,臺中市,大里區,中新里,548,3824,14.33,477,2842,16.78,江和樹,Y,1079,3801,28.39,1297,3824,33.92,14.06
66000280017,臺中市,大里區,瑞城里,1122,8308,13.51,739,6267,11.79,江和樹,Y,2281,8345,27.33,2741,8464,32.38,13.82
66000280018,臺中市,大里區,金城里,824,6732,12.24,674,5107,13.2,江和樹,Y,1670,6437,25.94,2052,6533,31.41,13.7
66000280019,臺中市,大里區,東湖里,877,7271,12.06,593,5215,11.37,江和樹,Y,1865,7311,25.51,2380,7427,32.05,13.45
66000280027,臺中市,大里區,仁德里,583,4272,13.65,388,3054,12.7,江和樹,Y,1105,4131,26.75,1323,4172,31.71,13.1
66000280010,臺中市,大里區,立仁里,504,3683,13.68,502,2906,17.27,江和樹,Y,984,3681,26.73,1223,3724,32.84,13.05
66000280012,臺中市,大里區,大元里,390,3206,12.16,246,2264,10.87,江和樹,Y,730,2898,25.19,894,2927,30.54,13.03
66000280002,臺中市,大里區,新里里,968,7050,13.73,591,5579,10.59,江和樹,Y,1913,7175,26.66,2269,7234,31.37,12.93
66000280005,臺中市,大里區,祥興里,647,5026,12.87,418,3947,10.59,江和樹,Y,1335,5209,25.63,1646,5268,31.25,12.76
66000280021,臺中市,大里區,國光里,589,4255,13.84,314,3028,10.37,江和樹,Y,1094,4164,26.27,1329,4190,31.72,12.43
66000280008,臺中市,大里區,內新里,851,6055,14.05,586,4445,13.18,江和樹,Y,1576,5953,26.47,1913,5992,31.93,12.42
66000280011,臺中市,大里區,新仁里,775,5634,13.76,1189,4609,25.8,江和樹,Y,1448,5537,26.15,1726,5601,30.82,12.39
66000280024,臺中市,大里區,長榮里,892,6448,13.83,568,4887,11.62,江和樹,Y,1623,6195,26.2,1920,6263,30.66,12.37
66000280026,臺中市,大里區,立德里,833,5574,14.94,1463,4586,31.9,江和樹,Y,1534,5643,27.18,1822,5690,32.02,12.24
66000280016,臺中市,大里區,塗城里,726,6026,12.05,482,4428,10.89,江和樹,Y,1383,5717,24.19,1733,5789,29.94,12.14
66000280023,臺中市,大里區,永隆里,1112,7268,15.3,614,5665,10.84,江和樹,Y,2073,7556,27.44,2508,7624,32.9,12.14
66000280013,臺中市,大里區,夏田里,70,740,9.46,44,576,7.64,江和樹,Y,148,688,21.51,188,693,27.13,12.05
66000280022,臺中市,大里區,大明里,360,2933,12.27,258,2383,10.83,江和樹,Y,713,2938,24.27,879,2961,29.69,12
66000280003,臺中市,大里區,樹王里,341,2620,13.02,152,2003,7.59,江和樹,Y,642,2625,24.46,789,2662,29.64,11.44
66000280001,臺中市,大里區,大里里,327,2603,12.56,227,2169,10.47,江和樹,Y,633,2643,23.95,818,2678,30.55,11.39
66000280007,臺中市,大里區,西榮里,550,4006,13.73,345,3009,11.47,江和樹,Y,945,3770,25.07,1172,3810,30.76,11.34
66000280006,臺中市,大里區,日新里,399,2967,13.45,262,2438,10.75,江和樹,Y,761,3171,24,942,3196,29.47,10.55
66000280004,臺中市,大里區,東興里,712,5200,13.69,396,3817,10.37,江和樹,Y,1194,4942,24.16,1464,4972,29.44,10.47
66000280009,臺中市,大里區,東昇里,319,2394,13.32,223,1817,12.27,江和樹,Y,558,2353,23.71,690,2379,29,10.39
66000280020,臺中市,大里區,西湖里,253,2026,12.49,126,1529,8.24,江和樹,Y,443,1959,22.61,600,1988,30.18,10.12
