地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市第1選區,汪立峽,1,男,1944,勞動黨,498,0.08%,,否
臺北市第1選區,鄭元良,2,男,1941,無,336,0.06%,,否
臺北市第1選區,謝欽宗,3,男,1952,中國國民黨,45672,7.58%,*,否
臺北市第1選區,陳漢強,4,男,1937,新黨,59575,9.89%,*,否
臺北市第1選區,丁守中,5,男,1954,中國國民黨,57412,9.53%,*,是
臺北市第1選區,王仲良,6,男,1953,無,326,0.05%,,否
臺北市第1選區,蕭裕珍,7,女,1956,民主進步黨,37744,6.27%,*,否
臺北市第1選區,張慶源,8,男,1958,無,401,0.07%,,否
臺北市第1選區,王雪峯,9,女,1964,民主進步黨,70277,11.67%,*,否
臺北市第1選區,趙玲玲,10,女,1945,中國國民黨,29570,4.91%,,否
臺北市第1選區,李勝峰,11,男,1954,無,6773,1.12%,,否
臺北市第1選區,吳武明,12,男,1957,無,768,0.13%,,否
臺北市第1選區,陳建銘,13,男,1967,無,291,0.05%,,否
臺北市第1選區,吳寶芬,14,女,1962,無,2548,0.42%,,否
臺北市第1選區,林濁水,15,男,1947,民主進步黨,46059,7.65%,*,是
臺北市第1選區,郝龍斌,16,男,1952,新黨,61259,10.17%,*,否
臺北市第1選區,穆閩珠,17,女,1949,中國國民黨,30340,5.04%,,否
臺北市第1選區,江鵬堅,18,男,1940,民主進步黨,26055,4.33%,,是
臺北市第1選區,江碩平,19,男,1949,無,13021,2.16%,,否
臺北市第1選區,張晉城,20,男,1949,民主進步黨,34845,5.78%,*,否
臺北市第1選區,高惠宇,21,女,1947,新黨,50833,8.44%,*,否
臺北市第1選區,柯賜海,22,男,1956,無,145,0.02%,,否
臺北市第1選區,劉宗明,23,男,1947,中國國民黨,27602,4.58%,,否
臺北市第2選區,黃建源,1,男,1956,無,510,0.09%,,否
臺北市第2選區,王娟萍,2,女,1960,勞動黨,709,0.12%,,否
臺北市第2選區,陳鴻基,3,男,1949,中國國民黨,41177,7.05%,*,否
臺北市第2選區,張智雄,4,男,1948,無,506,0.09%,,否
臺北市第2選區,葛彰台,5,男,1952,無,138,0.02%,,否
臺北市第2選區,沈慶台,6,男,1949,無,239,0.04%,,否
臺北市第2選區,廖立宇,7,男,1948,無,1846,0.32%,,否
