地區,姓名,號次,得票數,得票率
臺北市北投區建民里,陳履安,1,298,10.15%
臺北市北投區建民里,李登輝,2,1238,42.18%
臺北市北投區建民里,彭明敏,3,853,29.06%
臺北市北投區建民里,林洋港,4,546,18.60%
臺北市北投區文林里,陳履安,1,303,12.23%
臺北市北投區文林里,李登輝,2,1048,42.29%
臺北市北投區文林里,彭明敏,3,765,30.87%
臺北市北投區文林里,林洋港,4,362,14.61%
臺北市北投區石牌里,陳履安,1,379,11.45%
臺北市北投區石牌里,李登輝,2,1502,45.36%
臺北市北投區石牌里,彭明敏,3,953,28.78%
臺北市北投區石牌里,林洋港,4,477,14.41%
臺北市北投區榮光里,陳履安,1,451,10.90%
臺北市北投區榮光里,李登輝,2,1872,45.24%
臺北市北投區榮光里,彭明敏,3,1061,25.64%
臺北市北投區榮光里,林洋港,4,754,18.22%
臺北市北投區福興里,陳履安,1,448,11.81%
臺北市北投區福興里,李登輝,2,1778,46.89%
臺北市北投區福興里,彭明敏,3,945,24.92%
臺北市北投區福興里,林洋港,4,621,16.38%
臺北市北投區洲美里,陳履安,1,69,7.26%
臺北市北投區洲美里,李登輝,2,513,54.00%
臺北市北投區洲美里,彭明敏,3,332,34.95%
臺北市北投區洲美里,林洋港,4,36,3.79%
臺北市北投區吉慶里,陳履安,1,304,10.28%
臺北市北投區吉慶里,李登輝,2,1272,43.02%
臺北市北投區吉慶里,彭明敏,3,862,29.15%
臺北市北投區吉慶里,林洋港,4,519,17.55%
臺北市北投區吉利里,陳履安,1,407,11.49%
臺北市北投區吉利里,李登輝,2,1546,43.65%
臺北市北投區吉利里,彭明敏,3,790,22.30%
臺北市北投區吉利里,林洋港,4,799,22.56%
臺北市北投區尊賢里,陳履安,1,292,10.38%
臺北市北投區尊賢里,李登輝,2,1277,45.41%
臺北市北投區尊賢里,彭明敏,3,840,29.87%
臺北市北投區尊賢里,林洋港,4,403,14.33%
臺北市北投區立賢里,陳履安,1,330,11.11%
臺北市北投區立賢里,李登輝,2,1326,44.65%
臺北市北投區立賢里,彭明敏,3,803,27.04%
臺北市北投區立賢里,林洋港,4,511,17.21%
臺北市北投區立農里,陳履安,1,580,12.14%
臺北市北投區立農里,李登輝,2,2044,42.80%
臺北市北投區立農里,彭明敏,3,1322,27.68%
臺北市北投區立農里,林洋港,4,830,17.38%
臺北市北投區永和里,陳履安,1,537,13.40%
臺北市北投區永和里,李登輝,2,1436,35.85%
