地區,姓名,號次,得票數,得票率
臺北市松山區,高金素梅,1,16,30.19%
臺北市松山區,李文來,2,4,7.55%
臺北市松山區,何信軍,3,7,13.21%
臺北市松山區,余夢蝶,4,2,3.77%
臺北市松山區,伊掃魯刀,5,0,0.00%
臺北市松山區,全文盛,6,1,1.89%
臺北市松山區,瓦歷斯‧貝林,7,3,5.66%
臺北市松山區,高揚昇,8,1,1.89%
臺北市松山區,林文生,9,1,1.89%
臺北市松山區,林春德,10,7,13.21%
臺北市松山區,巴燕‧達魯,11,10,18.87%
臺北市松山區,曾華德,12,1,1.89%
臺北市信義區,高金素梅,1,12,17.39%
臺北市信義區,李文來,2,13,18.84%
臺北市信義區,何信軍,3,9,13.04%
臺北市信義區,余夢蝶,4,3,4.35%
臺北市信義區,伊掃魯刀,5,0,0.00%
臺北市信義區,全文盛,6,3,4.35%
臺北市信義區,瓦歷斯‧貝林,7,4,5.80%
臺北市信義區,高揚昇,8,3,4.35%
臺北市信義區,林文生,9,2,2.90%
臺北市信義區,林春德,10,13,18.84%
臺北市信義區,巴燕‧達魯,11,4,5.80%
臺北市信義區,曾華德,12,3,4.35%
臺北市大安區,高金素梅,1,15,16.85%
臺北市大安區,李文來,2,1,1.12%
臺北市大安區,何信軍,3,8,8.99%
臺北市大安區,余夢蝶,4,3,3.37%
臺北市大安區,伊掃魯刀,5,0,0.00%
臺北市大安區,全文盛,6,6,6.74%
臺北市大安區,瓦歷斯‧貝林,7,0,0.00%
臺北市大安區,高揚昇,8,16,17.98%
臺北市大安區,林文生,9,3,3.37%
臺北市大安區,林春德,10,23,25.84%
臺北市大安區,巴燕‧達魯,11,8,8.99%
臺北市大安區,曾華德,12,6,6.74%
臺北市中山區,高金素梅,1,24,22.02%
臺北市中山區,李文來,2,11,10.09%
臺北市中山區,何信軍,3,8,7.34%
臺北市中山區,余夢蝶,4,2,1.83%
臺北市中山區,伊掃魯刀,5,1,0.92%
臺北市中山區,全文盛,6,8,7.34%
臺北市中山區,瓦歷斯‧貝林,7,6,5.50%
臺北市中山區,高揚昇,8,18,16.51%
臺北市中山區,林文生,9,2,1.83%
臺北市中山區,林春德,10,13,11.93%
臺北市中山區,巴燕‧達魯,11,7,6.42%
臺北市中山區,曾華德,12,9,8.26%
臺北市中正區,高金素梅,1,8,18.60%
臺北市中正區,李文來,2,3,6.98%
臺北市中正區,何信軍,3,4,9.30%
臺北市中正區,余夢蝶,4,3,6.98%
臺北市中正區,伊掃魯刀,5,0,0.00%
臺北市中正區,全文盛,6,1,2.33%
臺北市中正區,瓦歷斯‧貝林,7,3,6.98%
臺北市中正區,高揚昇,8,6,13.95%
臺北市中正區,林文生,9,3,6.98%
臺北市中正區,林春德,10,8,18.60%
臺北市中正區,巴燕‧達魯,11,4,9.30%
臺北市中正區,曾華德,12,0,0.00%
臺北市大同區,高金素梅,1,3,11.11%
臺北市大同區,李文來,2,4,14.81%
臺北市大同區,何信軍,3,3,11.11%
臺北市大同區,余夢蝶,4,1,3.70%
臺北市大同區,伊掃魯刀,5,0,0.00%
臺北市大同區,全文盛,6,2,7.41%
