地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市北投區建民里,黃建梓,1,男,1963,無黨籍及未經政黨推薦,831,36.81%,,否
臺北市北投區建民里,黃志立,2,男,1959,無黨籍及未經政黨推薦,1426,63.18%,*,是
臺北市北投區文林里,劉憲昌,1,男,1946,中國國民黨,1979,100.00%,*,是
臺北市北投區石牌里,葉培鑫,1,男,1960,無黨籍及未經政黨推薦,749,23.90%,,否
臺北市北投區石牌里,杜炳南,2,男,1929,中國國民黨,1157,36.92%,,是
臺北市北投區石牌里,黃滿妹,3,女,1959,無黨籍及未經政黨推薦,1227,39.16%,*,否
臺北市北投區福興里,蔡柳池,1,男,1955,無黨籍及未經政黨推薦,3495,100.00%,*,是
臺北市北投區榮光里,蘇寶鈴,1,女,1951,無黨籍及未經政黨推薦,2295,60.12%,*,是
臺北市北投區榮光里,蔣劉桂枝,2,女,1939,無黨籍及未經政黨推薦,1522,39.87%,,否
臺北市北投區榮華里,翁榮植,1,男,1951,無黨籍及未經政黨推薦,2088,49.44%,,否
臺北市北投區榮華里,何漢清,2,男,1953,中國國民黨,2135,50.55%,*,是
臺北市北投區裕民里,謝延龍,1,男,1951,無黨籍及未經政黨推薦,1708,41.23%,,是
臺北市北投區裕民里,鍾義春,2,男,1946,中國國民黨,2434,58.76%,*,否
臺北市北投區振華里,陳沛然,1,男,1946,無黨籍及未經政黨推薦,1546,36.70%,,否
臺北市北投區振華里,林明通,2,男,1947,無黨籍及未經政黨推薦,402,9.54%,,否
臺北市北投區振華里,葉光四,3,男,1943,中國國民黨,2264,53.75%,*,是
臺北市北投區永和里,何榮助,1,男,1945,中國國民黨,3869,100.00%,*,是
臺北市北投區永欣里,王慶郎,1,男,1960,中國國民黨,1710,44.94%,,否
臺北市北投區永欣里,潘萬生,2,男,1957,中國國民黨,2095,55.05%,*,否
臺北市北投區永明里,何麗玲,1,女,1964,中國國民黨,1526,54.32%,*,是
臺北市北投區永明里,潘文智,2,男,1962,無黨籍及未經政黨推薦,1236,44.00%,,否
臺北市北投區永明里,張耀鴻,3,男,1947,無黨籍及未經政黨推薦,47,1.67%,,否
臺北市北投區東華里,袁大祥,1,男,1961,中國國民黨,1712,62.41%,*,是
臺北市北投區東華里,蔡瑞崇,2,男,1953,無黨籍及未經政黨推薦,1031,37.58%,,否
臺北市北投區吉利里,劉序剛,1,男,1959,無黨籍及未經政黨推薦,2108,55.76%,*,否
臺北市北投區吉利里,鄧國雄,2,男,1942,中國國民黨,1672,44.23%,,是
臺北市北投區吉慶里,黃勝宗,1,男,1951,無黨籍及未經政黨推薦,1713,57.56%,*,是
臺北市北投區吉慶里,賴坤龍,2,男,1953,中國國民黨,1263,42.43%,,否
臺北市北投區尊賢里,潘同發,1,男,1952,中國國民黨,2101,100.00%,*,是
臺北市北投區立賢里,陳朝彬,1,男,1957,無黨籍及未經政黨推薦,1221,39.08%,,是
臺北市北投區立賢里,邱福銀,2,男,1959,無黨籍及未經政黨推薦,1903,60.91%,*,否
臺北市北投區立農里,陳榮,1,男,1959,無黨籍及未經政黨推薦,2147,41.85%,,否
臺北市北投區立農里,潘建榮,2,男,1960,無黨籍及未經政黨推薦,2983,58.14%,*,是
臺北市北投區八仙里,黃永清,1,男,1967,無黨籍及未經政黨推薦,2453,81.82%,*,是
臺北市北投區八仙里,陳吉利,2,男,1968,無黨籍及未經政黨推薦,545,18.17%,,否
臺北市北投區洲美里,楊萬,1,男,1948,民主進步黨,595,42.74%,,是
臺北市北投區洲美里,林天來,2,男,1951,無黨籍及未經政黨推薦,797,57.25%,*,否
臺北市北投區奇岩里,譚勝國,1,男,1951,中國國民黨,2013,36.75%,*,否
臺北市北投區奇岩里,高美華,2,女,1953,無黨籍及未經政黨推薦,1498,27.35%,,否
臺北市北投區奇岩里,賴進利,3,男,1959,無黨籍及未經政黨推薦,1966,35.89%,,是
