地區,姓名,號次,得票數,得票率
高雄市茂林區茂林里,謝進財,1,255,43.14%
高雄市茂林區茂林里,施貴成,2,183,30.96%
高雄市茂林區茂林里,"宋能正 Angopaw．Komola",3,153,25.88%
高雄市茂林區萬山里,謝進財,1,92,30.26%
高雄市茂林區萬山里,施貴成,2,99,32.56%
高雄市茂林區萬山里,"宋能正 Angopaw．Komola",3,113,37.17%
高雄市茂林區多納里,謝進財,1,63,15.75%
高雄市茂林區多納里,施貴成,2,87,21.75%
高雄市茂林區多納里,"宋能正 Angopaw．Komola",3,250,62.50%
高雄市桃源區桃源里,張德政,1,96,17.02%
高雄市桃源區桃源里,謝英雄,2,301,53.36%
高雄市桃源區桃源里,高豫,3,167,29.60%
高雄市桃源區寶山里,張德政,1,84,24.48%
高雄市桃源區寶山里,謝英雄,2,141,41.10%
高雄市桃源區寶山里,高豫,3,118,34.40%
高雄市桃源區建山里,張德政,1,54,12.02%
高雄市桃源區建山里,謝英雄,2,94,20.93%
高雄市桃源區建山里,高豫,3,301,67.03%
高雄市桃源區高中里,張德政,1,43,9.70%
高雄市桃源區高中里,謝英雄,2,244,55.07%
高雄市桃源區高中里,高豫,3,156,35.21%
高雄市桃源區勤和里,張德政,1,65,35.13%
高雄市桃源區勤和里,謝英雄,2,84,45.40%
高雄市桃源區勤和里,高豫,3,36,19.45%
高雄市桃源區復興里,張德政,1,44,19.81%
高雄市桃源區復興里,謝英雄,2,120,54.05%
高雄市桃源區復興里,高豫,3,58,26.12%
高雄市桃源區拉芙蘭里,張德政,1,10,5.10%
高雄市桃源區拉芙蘭里,謝英雄,2,127,64.79%
高雄市桃源區拉芙蘭里,高豫,3,59,30.10%
高雄市桃源區梅山里,張德政,1,15,7.17%
高雄市桃源區梅山里,謝英雄,2,89,42.58%
高雄市桃源區梅山里,高豫,3,105,50.23%
高雄市那瑪夏區達卡努瓦里,"白樣‧伊斯理鍛 Payan‧Islituan",1,492,46.06%
高雄市那瑪夏區達卡努瓦里,"徐出世 Dahu‧Istanda",2,576,53.93%
高雄市那瑪夏區瑪雅里,"白樣‧伊斯理鍛 Payan‧Islituan",1,164,34.30%
高雄市那瑪夏區瑪雅里,"徐出世 Dahu‧Istanda",2,314,65.69%
高雄市那瑪夏區南沙魯里,"白樣‧伊斯理鍛 Payan‧Islituan",1,235,55.16%
高雄市那瑪夏區南沙魯里,"徐出世 Dahu‧Istanda",2,191,44.83%
新北市烏來區烏來里,周守信,1,262,15.90%
新北市烏來區烏來里,高富貫,2,726,44.08%
新北市烏來區烏來里,林啟明,3,56,3.40%
新北市烏來區烏來里,張德勝,4,208,12.62%
新北市烏來區烏來里,蔡馬新,5,395,23.98%
新北市烏來區忠治里,周守信,1,177,15.36%
新北市烏來區忠治里,高富貫,2,517,44.87%
新北市烏來區忠治里,林啟明,3,172,14.93%
新北市烏來區忠治里,張德勝,4,56,4.86%
新北市烏來區忠治里,蔡馬新,5,230,19.96%
新北市烏來區福山里,周守信,1,86,19.02%
新北市烏來區福山里,高富貫,2,172,38.05%
新北市烏來區福山里,林啟明,3,27,5.97%
新北市烏來區福山里,張德勝,4,26,5.75%
新北市烏來區福山里,蔡馬新,5,141,31.19%
新北市烏來區信賢里,周守信,1,13,3.93%
新北市烏來區信賢里,高富貫,2,244,73.93%
新北市烏來區信賢里,林啟明,3,9,2.72%
新北市烏來區信賢里,張德勝,4,23,6.96%
新北市烏來區信賢里,蔡馬新,5,41,12.42%
新北市烏來區孝義里,周守信,1,16,8.24%
新北市烏來區孝義里,高富貫,2,41,21.13%
新北市烏來區孝義里,林啟明,3,3,1.54%
新北市烏來區孝義里,張德勝,4,9,4.63%
新北市烏來區孝義里,蔡馬新,5,125,64.43%
臺中市和平區南勢里,吳萬福,1,371,26.27%
臺中市和平區南勢里,林建堂,2,517,36.61%
臺中市和平區南勢里,陳文書,3,524,37.11%
臺中市和平區天輪里,吳萬福,1,128,43.24%
臺中市和平區天輪里,林建堂,2,116,39.18%
臺中市和平區天輪里,陳文書,3,52,17.56%
臺中市和平區博愛里,吳萬福,1,191,15.92%
臺中市和平區博愛里,林建堂,2,668,55.71%
臺中市和平區博愛里,陳文書,3,340,28.35%
臺中市和平區中坑里,吳萬福,1,144,40.67%
臺中市和平區中坑里,林建堂,2,183,51.69%
臺中市和平區中坑里,陳文書,3,27,7.62%
臺中市和平區自由里,吳萬福,1,505,62.11%
臺中市和平區自由里,林建堂,2,230,28.29%
臺中市和平區自由里,陳文書,3,78,9.59%
臺中市和平區達觀里,吳萬福,1,382,45.42%
臺中市和平區達觀里,林建堂,2,246,29.25%
臺中市和平區達觀里,陳文書,3,213,25.32%
臺中市和平區梨山里,吳萬福,1,340,26.68%
臺中市和平區梨山里,林建堂,2,369,28.96%
臺中市和平區梨山里,陳文書,3,565,44.34%
臺中市和平區平等里,吳萬福,1,256,38.78%
臺中市和平區平等里,林建堂,2,237,35.90%
臺中市和平區平等里,陳文書,3,167,25.30%
桃園市復興區三民里,陽國榮,1,62,4.52%
桃園市復興區三民里,曾志湘,2,509,37.15%
桃園市復興區三民里,陳子瀅,3,186,13.57%
桃園市復興區三民里,范振興,4,613,44.74%
桃園市復興區澤仁里,陽國榮,1,118,12.99%
桃園市復興區澤仁里,曾志湘,2,244,26.87%
桃園市復興區澤仁里,陳子瀅,3,208,22.90%
桃園市復興區澤仁里,范振興,4,338,37.22%
桃園市復興區義盛里,陽國榮,1,22,4.96%
桃園市復興區義盛里,曾志湘,2,150,33.86%
桃園市復興區義盛里,陳子瀅,3,111,25.05%
桃園市復興區義盛里,范振興,4,160,36.11%
桃園市復興區霞雲里,陽國榮,1,19,5.42%
桃園市復興區霞雲里,曾志湘,2,84,24.00%
桃園市復興區霞雲里,陳子瀅,3,103,29.42%
桃園市復興區霞雲里,范振興,4,144,41.14%
桃園市復興區長興里,陽國榮,1,17,4.14%
桃園市復興區長興里,曾志湘,2,137,33.41%
桃園市復興區長興里,陳子瀅,3,107,26.09%
桃園市復興區長興里,范振興,4,149,36.34%
桃園市復興區三光里,陽國榮,1,5,1.14%
桃園市復興區三光里,曾志湘,2,93,21.33%
桃園市復興區三光里,陳子瀅,3,121,27.75%
桃園市復興區三光里,范振興,4,217,49.77%
桃園市復興區奎輝里,陽國榮,1,20,4.67%
桃園市復興區奎輝里,曾志湘,2,92,21.49%
桃園市復興區奎輝里,陳子瀅,3,75,17.52%
桃園市復興區奎輝里,范振興,4,241,56.30%
桃園市復興區華陵里,陽國榮,1,30,4.08%
桃園市復興區華陵里,曾志湘,2,174,23.67%
桃園市復興區華陵里,陳子瀅,3,41,5.57%
桃園市復興區華陵里,范振興,4,490,66.66%
桃園市復興區羅浮里,陽國榮,1,43,6.64%
桃園市復興區羅浮里,曾志湘,2,345,53.32%
桃園市復興區羅浮里,陳子瀅,3,108,16.69%
桃園市復興區羅浮里,范振興,4,151,23.33%
桃園市復興區高義里,陽國榮,1,2,0.41%
桃園市復興區高義里,曾志湘,2,58,11.95%
桃園市復興區高義里,陳子瀅,3,72,14.84%
桃園市復興區高義里,范振興,4,353,72.78%
